# Phases 	 model 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
-0.5870387039 	 -12.0966394204 	 -14.3692822289 	 -9.3964272202 	 -16.5605839511 	 -5.8230970328 	 -18.0047740851 	 -2.6856743654
-0.5869186919 	 -12.0828154639 	 -14.3583672068 	 -9.3836208103 	 -16.5492319798 	 -5.8078594766 	 -17.9936159100 	 -2.6705278266
-0.5867986799 	 -12.0696893091 	 -14.3461354156 	 -9.3693114043 	 -16.5378688101 	 -5.7926224272 	 -17.9824450799 	 -2.6562165089
-0.5866786679 	 -12.0560683223 	 -14.3355309767 	 -9.3568390902 	 -16.5287988518 	 -5.7773859067 	 -17.9712615952 	 -2.6419082827
-0.5865586559 	 -12.0421280728 	 -14.3240905323 	 -9.3423988749 	 -16.5203142533 	 -5.7621498897 	 -17.9600654560 	 -2.6276031222
-0.5864386439 	 -12.0290755728 	 -14.3117701189 	 -9.3279576019 	 -16.5118218016 	 -5.7469143983 	 -17.9488566745 	 -2.6133010464
-0.5863186319 	 -12.0171702541 	 -14.2998089809 	 -9.3138022687 	 -16.5033215056 	 -5.7316794388 	 -17.9378982956 	 -2.5990020743
-0.5861986199 	 -12.0051852741 	 -14.2881415522 	 -9.2980552102 	 -16.4909432998 	 -5.7164450174 	 -17.9285494932 	 -2.5847061801
-0.5860786079 	 -11.9909102321 	 -14.2745086362 	 -9.2848249187 	 -16.4802032224 	 -5.7012111563 	 -17.9191878404 	 -2.5704133826
-0.5859585959 	 -11.9763854674 	 -14.2629676496 	 -9.2701730602 	 -16.4719841807 	 -5.6859778298 	 -17.9098133251 	 -2.5561237007
-0.5858385839 	 -11.9636266434 	 -14.2518945286 	 -9.2559109635 	 -16.4597736158 	 -5.6707450603 	 -17.9004259353 	 -2.5418371088
-0.5857185719 	 -11.9499537192 	 -14.2412181011 	 -9.2432070649 	 -16.4533221056 	 -5.6563248704 	 -17.8941953543 	 -2.5275536255
-0.5855985599 	 -11.9375656288 	 -14.2305352363 	 -9.2305000837 	 -16.4458248682 	 -5.6421653914 	 -17.8899048987 	 -2.5132732700
-0.5854785479 	 -11.9245241643 	 -14.2191947506 	 -9.2160072469 	 -16.4359739065 	 -5.6280067848 	 -17.8856082749 	 -2.4989960162
-0.5853585359 	 -11.9105623862 	 -14.2077043231 	 -9.2008726225 	 -16.4256951759 	 -5.6138490539 	 -17.8813054769 	 -2.4847218831
-0.5852385239 	 -11.8967127924 	 -14.1956830830 	 -9.1872766582 	 -16.4160671943 	 -5.5996922020 	 -17.8769964989 	 -2.4704508896
-0.5851185119 	 -11.8829948172 	 -14.1834832582 	 -9.1744375034 	 -16.4029737437 	 -5.5854696892 	 -17.8659669698 	 -2.4561830098
