# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458884.2536886646 	 0.0000000000 	 20.3725969140 	 17.5670346114 	 23.0946413467 	 14.4486030120 	 26.0140247531 	 12.3062411215 	 28.0658454150
2458884.4588938695 	 0.0000000000 	 23.1317451633 	 20.8706411446 	 25.3861914966 	 18.3178993052 	 28.0327152686 	 16.4484204353 	 29.8491770802
2458884.6640990749 	 0.0000000000 	 23.0313417891 	 21.0005125141 	 25.1394761335 	 18.6637050082 	 27.4392116138 	 17.2385902718 	 29.1871438291
2458884.8693042803 	 0.0000000000 	 20.0894326297 	 17.2488967890 	 22.4945805185 	 13.6061569237 	 24.9668795476 	 10.9693701272 	 26.7041478721
2458885.0745094852 	 0.0000000000 	 14.1980345756 	 10.0752218049 	 17.7175111222 	 5.2557882113 	 20.9346197598 	 1.6873709013 	 23.1321335226
2458885.2797146905 	 0.0000000000 	 6.2163252349 	 1.2844913961 	 10.7960204147 	 -3.9264307635 	 15.2108871928 	 -7.1381886085 	 17.8783404367
2458885.4849198959 	 0.0000000000 	 -2.5786809955 	 -7.4714746928 	 2.3616857292 	 -12.0931210646 	 7.6053893028 	 -14.9347191755 	 11.0200795920
2458885.6901251008 	 0.0000000000 	 -10.7422991544 	 -14.7738580916 	 -6.2710069071 	 -18.3474268966 	 -1.0202856751 	 -20.6290279460 	 2.7263349054
2458885.8953303061 	 0.0000000000 	 -17.1034118749 	 -19.9373536946 	 -13.7548150166 	 -22.6858367799 	 -9.5532071711 	 -24.3582382741 	 -5.7789955885
2458886.1005355115 	 0.0000000000 	 -20.9400968657 	 -22.9482672587 	 -18.8583958923 	 -25.1631559579 	 -16.1328052325 	 -26.6896955319 	 -13.2947153328
2458886.3057407164 	 0.0000000000 	 -22.3292765710 	 -24.1603424343 	 -20.4901511889 	 -26.2648546699 	 -18.4622010453 	 -27.6544837927 	 -17.0655927971
2458886.5109459218 	 0.0000000000 	 -21.3511070198 	 -23.5009817864 	 -19.0309228665 	 -25.6944542866 	 -16.3605262021 	 -27.3513089827 	 -14.5891939899
2458886.7161511271 	 0.0000000000 	 -18.0263057965 	 -20.7437562729 	 -15.1660079945 	 -23.4476793288 	 -11.9750782204 	 -25.2249712254 	 -10.0135650447
2458886.9213563320 	 0.0000000000 	 -12.8836887773 	 -15.9405450424 	 -9.7189256564 	 -19.1795911969 	 -6.2484539763 	 -21.5802205685 	 -4.1703894380
